1596k  110.178.52.143:8084
1590k  110.178.52.91:8084
1577k  110.178.52.91:8083
1552k  110.178.52.111:8083
1544k  110.178.52.91:8082
1527k  110.178.52.91:8085
1523k  110.178.52.111:8084
1513k  110.178.52.143:8082
1502k  110.178.52.143:8085
1491k  110.178.52.143:8083
1483k  110.178.52.111:8085
1437k  1.70.33.10:8084
1412k  110.178.52.111:8082
1058k  223.10.63.66:8082
1057k  110.177.100.62:8083
1056k  110.177.100.62:8082
1051k  223.10.63.66:8083
1040k  1.70.33.10:8085
1039k  1.70.33.10:8083
1029k  1.70.33.10:8082
